"","sa1_code_2016","LRT","subway","rail","bus","ferry","cable_tram","aerial_lift","funicular","trolleybus","monorail"
"248","20102100904",0,0,0,0,0,0,0,0,0,0
"249","20102100905",0,0,0,0,0,0,0,0,0,0
"250","20102100906",0,0,0.31222728829749,0.0152096919492797,0,0,0,0,0,0
"251","20102100907",0,0,0,0,0,0,0,0,0,0
"252","20102100908",0,0,0,0,0,0,0,0,0,0
"253","20102100909",0,0,0,0,0,0,0,0,0,0
"254","20102100910",0,0,0,0,0,0,0,0,0,0
"255","20102100911",0,0,0,0,0,0,0,0,0,0
"256","20102100912",0,0,0.101829514539051,0,0,0,0,0,0,0
"257","20102100913",0,0,5.48434722085325,1.09994194531577,0,0,0,0,0,0
"258","20102100914",0,0,40.0000000000019,7.69155061680061,0,0,0,0,0,0
"259","20102100915",0,0,16.0518255460613,2.93646800143708,0,0,0,0,0,0
"260","20102100916",0,0,37.9819547093251,6.05080174273101,0,0,0,0,0,0
"261","20102100917",0,0,4.47868442238047e-05,0.0156596263739976,0,0,0,0,0,0
"262","20102101001",0,0,0.0391691220770799,1.45200014331131,0,0,0,0,0,0
"263","20102101002",0,0,0.76401209471802,5.62225274880665,0,0,0,0,0,0
"264","20102101003",0,0,1.62200320405618,122.140748911342,0,0,0,0,0,0
"265","20102101004",0,0,0.172963912217933,12.1777855804016,0,0,0,0,0,0
"266","20102101005",0,0,1.99650736903814,101.796568587901,0,0,0,0,0,0
"267","20102101006",0,0,0.0015376290324386,17.3788810415344,0,0,0,0,0,0
"268","20102101007",0,0,0,0.993581942687829,0,0,0,0,0,0
"269","20102101008",0,0,0,0.107528540413875,0,0,0,0,0,0
"270","20102101009",0,0,0,0.054072731978009,0,0,0,0,0,0
"271","20102101010",0,0,0,0.417766816910332,0,0,0,0,0,0
"272","20102101011",0,0,0,0.00852971236843161,0,0,0,0,0,0
"273","20102101012",0,0,0.936600856552744,4.42713381578465,0,0,0,0,0,0
"274","20102101013",0,0,0.108121857792736,0.813824536757454,0,0,0,0,0,0
"275","20102101014",0,0,0.00835630191698918,0.00107883635035095,0,0,0,0,0,0
"276","20102101015",0,0,0,0.0321869383818193,0,0,0,0,0,0
"277","20102101016",0,0,0,0.0162352053492431,0,0,0,0,0,0
"278","20102101017",0,0,0,1.0206440983324,0,0,0,0,0,0
"279","20102101018",0,0,0,0.00735158940847824,0,0,0,0,0,0
"280","20102101021",0,0,0.427708751681612,73.0744695836323,0,0,0,0,0,0
"281","20102101022",0,0,0,0,0,0,0,0,0,0
"282","20102101023",0,0,0.00638460303188596,8.23678351551431,0,0,0,0,0,0
"283","20102101024",0,0,0.211115776345124,0.0639120213032236,0,0,0,0,0,0
"284","20102101025",0,0,0,3.76219114780552,0,0,0,0,0,0
"285","20102101101",0,0,0.0148682469737461,0,0,0,0,0,0,0
"286","20102101102",0,0,0,0.0926774179145265,0,0,0,0,0,0
"287","20102101103",0,0,0,0.0487941926115689,0,0,0,0,0,0
"288","20102101104",0,0,0,0.0350129306956229,0,0,0,0,0,0
"289","20102101105",0,0,0,0.0945781390839117,0,0,0,0,0,0
"290","20102101106",0,0,0,1.05315522287465,0,0,0,0,0,0
"291","20102101107",0,0,0,0,0,0,0,0,0,0
"292","20102101108",0,0,0,4.1201291376917,0,0,0,0,0,0
"293","20102101109",0,0,0,0.768413242160126,0,0,0,0,0,0
"294","20102101110",0,0,0,0,0,0,0,0,0,0
"295","20102101111",0,0,0,0,0,0,0,0,0,0
"296","20102101112",0,0,0,0.153471685301608,0,0,0,0,0,0
"297","20102101113",0,0,0,2.11199962581325,0,0,0,0,0,0
"298","20102101114",0,0,0,1.675528085647,0,0,0,0,0,0
"299","20102101115",0,0,0,0,0,0,0,0,0,0
"300","20102101116",0,0,0,3.96941822653788,0,0,0,0,0,0
"301","20102101117",0,0,0,0.000240577783285832,0,0,0,0,0,0
"302","20102101118",0,0,0,0.153927474908945,0,0,0,0,0,0
"303","20102101119",0,0,0,0,0,0,0,0,0,0
"304","20102101120",0,0,0,0.0139074008461029,0,0,0,0,0,0
"305","20102101121",0,0,0,0.0832408578859619,0,0,0,0,0,0
"306","20102101122",0,0,0,0,0,0,0,0,0,0
"307","20102101123",0,0,0,0.167852750511652,0,0,0,0,0,0
"308","20102101124",0,0,0,0,0,0,0,0,0,0
"309","20102101125",0,0,0,0,0,0,0,0,0,0
"310","20102101201",0,0,0,0.0173460495597917,0,0,0,0,0,0
"311","20102101202",0,0,0,0,0,0,0,0,0,0
"312","20102101203",0,0,0,0,0,0,0,0,0,0
"313","20102101204",0,0,0,0.0208518098096096,0,0,0,0,0,0
"314","20102101205",0,0,0,0.107172045135822,0,0,0,0,0,0
"315","20102101206",0,0,0,0.0902888217793917,0,0,0,0,0,0
"316","20102101207",0,0,0,0.0887804293572059,0,0,0,0,0,0
"317","20102101208",0,0,0,0.00515464154241485,0,0,0,0,0,0
"318","20102101209",0,0,0,0,0,0,0,0,0,0
"319","20102101210",0,0,0,0,0,0,0,0,0,0
"320","20102101211",0,0,0,0,0,0,0,0,0,0
"321","20102101212",0,0,0,0.192144803638382,0,0,0,0,0,0
"322","20102101213",0,0,0,0.0186430592238046,0,0,0,0,0,0
"323","20102101214",0,0,0,2.20418745124199,0,0,0,0,0,0
"324","20102101215",0,0,0,0.278339767665136,0,0,0,0,0,0
"325","20102101216",0,0,0,0.0101795879224634,0,0,0,0,0,0
"326","20102101217",0,0,0,0.107742010718004,0,0,0,0,0,0
"327","20103101301",0,0,0,2.24799030327201,0,0,0,0,0,0
"328","20103101302",0,0,0,0.309243145758366,0,0,0,0,0,0
"329","20103101303",0,0,0,0.00238899758183812,0,0,0,0,0,0
"330","20103101304",0,0,0,0.00195937083299415,0,0,0,0,0,0
"331","20103101305",0,0,0,0,0,0,0,0,0,0
"332","20103101306",0,0,0,0.635486759047118,0,0,0,0,0,0
"333","20103101307",0,0,0,0,0,0,0,0,0,0
"334","20103101308",0,0,0,0.00992353486082321,0,0,0,0,0,0
"335","20103101309",0,0,0,0.014192240275868,0,0,0,0,0,0
"336","20103101310",0,0,0,0.00890355735307708,0,0,0,0,0,0
"337","20103101401",0,0,2.75957962879207,2.52632871299582,0,0,0,0,0,0
"338","20103101402",0,0,5.86827957638157,4.71567276537402,0,0,0,0,0,0
"339","20103101403",0,0,0.00757889593255515,0,0,0,0,0,0,0
"340","20103101404",0,0,0,0,0,0,0,0,0,0
"341","20103101405",0,0,0,0,0,0,0,0,0,0
"342","20103101406",0,0,0,0.0147656572971824,0,0,0,0,0,0
"343","20103101407",0,0,0,0,0,0,0,0,0,0
"344","20103101408",0,0,0,0,0,0,0,0,0,0
"345","20103101409",0,0,0,0.0101686835023707,0,0,0,0,0,0
"346","20103101410",0,0,0,0,0,0,0,0,0,0
"347","20103101411",0,0,0,0,0,0,0,0,0,0
"348","20103101412",0,0,3.5507428156744,1.79818144738763,0,0,0,0,0,0
"349","20103101413",0,0,0.0238537408387133,0,0,0,0,0,0,0
"350","20103101501",0,0,0,0.021764212498198,0,0,0,0,0,0
"351","20103101502",0,0,0,0.00984050950594909,0,0,0,0,0,0
"352","20103101503",0,0,0,0.00290955920338996,0,0,0,0,0,0
"353","20103101504",0,0,0,0.00302972174282994,0,0,0,0,0,0
"354","20103101505",0,0,0,0,0,0,0,0,0,0
"355","20103101506",0,0,0,2.37064970154785,0,0,0,0,0,0
"356","20103101507",0,0,0,1.00350513524485,0,0,0,0,0,0
"357","20103101508",0,0,0,0.190439917421777,0,0,0,0,0,0
"358","20103101509",0,0,0,0.260822431824345,0,0,0,0,0,0
"359","20103101510",0,0,0,0,0,0,0,0,0,0
"360","20103101511",0,0,0,0,0,0,0,0,0,0
"361","20103101512",0,0,0,0.018508073844408,0,0,0,0,0,0
"362","20103101601",0,0,0.0355198384429565,25.1171342538412,0,0,0,0,0,0
"363","20103101602",0,0,0.325985695648918,64.7069065101602,0,0,0,0,0,0
"364","20103101603",0,0,0.999999999999959,103.38768559781,0,0,0,0,0,0
"365","20103101604",0,0,0.511481939182097,43.6765502436661,0,0,0,0,0,0
"366","20103101605",0,0,0.0157161778980845,34.1760553182842,0,0,0,0,0,0
"367","20103101606",0,0,0.498952337607134,44.5097794361837,0,0,0,0,0,0
"368","20103101607",0,0,0.413883797759482,19.0694164498233,0,0,0,0,0,0
"369","20103101608",0,0,0.176882334241518,11.3910143968922,0,0,0,0,0,0
"370","20103101609",0,0,1.00000000000012,41.4834367039352,0,0,0,0,0,0
"371","20103101610",0,0,7.46239057919639e-05,93.5790244559945,0,0,0,0,0,0
"372","20103101611",0,0,7.9426625797934e-05,1.10160084957739,0,0,0,0,0,0
"373","20103101612",0,0,0,21.4257276157096,0,0,0,0,0,0
"374","20103101613",0,0,0,78.7521324762326,0,0,0,0,0,0
"375","20103101614",0,0,0,19.1036957753856,0,0,0,0,0,0
"376","20103101615",0,0,0.601603723386784,72.4081808036185,0,0,0,0,0,0
"377","20103101616",0,0,0,40.0159497323192,0,0,0,0,0,0
"378","20103101617",0,0,0,68.3429341587692,0,0,0,0,0,0
"379","20103101618",0,0,0.504498333740033,148.739482229762,0,0,0,0,0,0
"380","20103101619",0,0,0,22.7461081437916,0,0,0,0,0,0
"381","20103101620",0,0,0,29.2430255840117,0,0,0,0,0,0
"382","20103101621",0,0,0,0.474877022863164,0,0,0,0,0,0
"383","20103101701",0,0,0,0.614465320059679,0,0,0,0,0,0
"384","20103101702",0,0,0,0.393335886635628,0,0,0,0,0,0
"385","20103101703",0,0,0,9.78433375452169,0,0,0,0,0,0
"386","20103101704",0,0,0,0.00541701367715604,0,0,0,0,0,0
"387","20103101705",0,0,0,1.32100235629773,0,0,0,0,0,0
"388","20103101706",0,0,0,0.717196740845288,0,0,0,0,0,0
"389","20103101707",0,0,0.00886061441900777,0.0110858935380966,0,0,0,0,0,0
"390","20103101708",0,0,0.634330660957485,2.78747787799029,0,0,0,0,0,0
"391","20103101709",0,0,0,0.0408981520591502,0,0,0,0,0,0
"392","20103101710",0,0,0,0,0,0,0,0,0,0
"393","20103101711",0,0,0,0.0402046287635344,0,0,0,0,0,0
"394","20103101712",0,0,0,0,0,0,0,0,0,0
"395","20103101713",0,0,0,0,0,0,0,0,0,0
"396","20103101714",0,0,0,0,0,0,0,0,0,0
"397","20103101715",0,0,0,0,0,0,0,0,0,0
"398","20201101801",0,0,0,97.1237984677497,0,0,0,0,0,0
"399","20201101802",0,0,26.082185057629,319.023389172446,0,0,0,0,0,0
"400","20201101803",0,0,0,246.941299715213,0,0,0,0,0,0
