lga_code_2021,lga_name_2021,greater_melbourne
57420,Ravensthorpe,FALSE
57490,Rockingham,FALSE
57630,Sandstone,FALSE
57700,Serpentine-Jarrahdale,FALSE
57770,Shark Bay,FALSE
57840,South Perth,FALSE
57910,Stirling,FALSE
57980,Subiaco,FALSE
58050,Swan,FALSE
58190,Tammin,FALSE
58260,Three Springs,FALSE
58330,Toodyay,FALSE
58400,Trayning,FALSE
58470,Upper Gascoyne,FALSE
58510,Victoria Park,FALSE
58540,Victoria Plains,FALSE
58570,Vincent,FALSE
58610,Wagin,FALSE
58680,Wandering,FALSE
58760,Wanneroo,FALSE
58820,Waroona,FALSE
58890,West Arthur,FALSE
59030,Westonia,FALSE
59100,Wickepin,FALSE
59170,Williams,FALSE
59250,Wiluna,FALSE
59310,Wongan-Ballidu,FALSE
59320,Woodanilling,FALSE
59330,Wyalkatchem,FALSE
59340,Wyndham-East Kimberley,FALSE
59350,Yalgoo,FALSE
59360,Yilgarn,FALSE
59370,York,FALSE
59499,No usual address (WA),FALSE
59799,Migratory - Offshore - Shipping (WA),FALSE
60210,Break O'Day,FALSE
60410,Brighton,FALSE
60610,Burnie,FALSE
60810,Central Coast (Tas.),FALSE
61010,Central Highlands (Tas.),FALSE
61210,Circular Head,FALSE
61410,Clarence,FALSE
61510,Derwent Valley,FALSE
61610,Devonport,FALSE
61810,Dorset,FALSE
62010,Flinders (Tas.),FALSE
62210,George Town,FALSE
62410,Glamorgan-Spring Bay,FALSE
62610,Glenorchy,FALSE
62810,Hobart,FALSE
63010,Huon Valley,FALSE
63210,Kentish,FALSE
63410,King Island,FALSE
63610,Kingborough,FALSE
63810,Latrobe (Tas.),FALSE
64010,Launceston,FALSE
64210,Meander Valley,FALSE
64610,Northern Midlands,FALSE
64810,Sorell,FALSE
65010,Southern Midlands,FALSE
65210,Tasman,FALSE
65410,Waratah-Wynyard,FALSE
65610,West Coast,FALSE
65810,West Tamar,FALSE
69499,No usual address (Tas.),FALSE
69799,Migratory - Offshore - Shipping (Tas.),FALSE
70200,Alice Springs,FALSE
70420,Barkly,FALSE
70540,Belyuen,FALSE
70620,Central Desert,FALSE
70700,Coomalie,FALSE
71000,Darwin,FALSE
71150,Darwin Waterfront Precinct,FALSE
71300,East Arnhem,FALSE
72200,Katherine,FALSE
72300,Litchfield,FALSE
72330,MacDonnell,FALSE
72800,Palmerston,FALSE
73600,Roper Gulf,FALSE
74050,Tiwi Islands,FALSE
74550,Victoria Daly,FALSE
74560,Wagait,FALSE
74660,West Arnhem,FALSE
74680,West Daly,FALSE
79399,Unincorporated NT,FALSE
79499,No usual address (NT),FALSE
79799,Migratory - Offshore - Shipping (NT),FALSE
89399,Unincorporated ACT,FALSE
89499,No usual address (ACT),FALSE
89799,Migratory - Offshore - Shipping (ACT),FALSE
99399,Unincorp. Other Territories,FALSE
99499,No usual address (OT),FALSE
99799,Migratory - Offshore - Shipping (OT),FALSE
ZZZZZ,Outside Australia,FALSE
