sa1_code_2016;Total
20201102015;3,57767301085032e+02
20201102016;1,96448180232624e+02
20201102017;1,43627464658955e+02
20201102018;7,87835703727179e+01
20201102019;9,83415954012365e+01
20201102020;3,86973877296351e+01
20201102021;4,62446267958749e+01
20201102022;1,45789357740539e+02
20201102023;2,41859840445311e+02
20201102024;1,37852079564306e+02
20201102025;9,58485299941308e+01
20201102026;2,37422272492171e+02
20201102027;1,47395450074373e+02
20201102028;1,12071671089612e+02
20201102029;2,37697430566700e+02
20201102030;3,18446514474003e+02
20201102031;1,91855621209371e+02
20201102032;2,10668851200599e+02
20201102033;1,92369426741116e+02
20201102034;9,96668642840588e-01
20201102035;1,73860836557108e+02
20201102036;7,97049652493675e+00
20201102037;3,27269773733396e+01
20201102038;1,43538866663755e+02
20201102039;5,31675780367454e-01
20201102101;4,20819364246642e+00
20201102102;2,13171124316899e+02
20201102103;3,60504688553777e+02
20201102104;4,15079946964671e+02
20201102105;1,70053473604642e+02
20201102106;1,97801449397900e+02
20201102107;5,67863381661319e+01
20201102108;1,14811776946524e+02
20201102109;9,18287054841849e+01
20201102110;3,47523739041560e+01
20201102111;1,31029233486919e+02
20201102112;1,12578926037322e+02
20201102113;1,85509973237558e+01
20201102114;1,19216534979340e+02
20201102115;3,80577633673731e+01
20201102116;4,32219802044857e+01
20201102117;1,32025795782523e+02
20201102118;2,43873237116101e+02
20201102119;2,68112312645496e+02
20201102120;1,65021312628089e+03
20201102121;4,34624459373480e+02
20201102122;3,12837903032939e+00
20201102123;0,00000000000000e+00
20201102124;5,19941765662422e+00
20201102125;9,25210716285381e+01
20201102126;9,35850445576755e+01
20201102127;5,13628972757435e+00
20201102201;1,47283530127722e+02
20201102202;1,97036080363420e+02
20201102203;3,16219885335647e+02
20201102204;3,54551774716891e+00
20201102205;0,00000000000000e+00
20201102206;3,81418668733945e+02
20201102208;3,48514219030864e+02
20201102209;2,54815933495589e+02
20201102210;1,99818013010029e+01
20201102211;1,95885174790239e+02
20201102212;3,78288328243263e+02
20201102213;4,26641113151258e+02
20201102214;3,33623677417546e+02
20201102215;3,91772886393171e+02
20201102216;4,31664555463295e+01
20201102217;2,25877120826399e+02
20201102218;4,02946408202182e+02
20201102219;3,57939271028431e+02
20201102220;2,87952357482273e+02
20201102221;3,19403087343134e+02
20201102222;4,15595306961185e+01
20201102223;1,80858720698855e+01
20201102224;1,68931022711429e+02
20201102225;1,21415657276568e+02
20201102226;1,41424384979741e+02
20201102227;1,51661925277515e+02
20201102228;1,25708150913379e+02
20201102229;2,59748607793441e+01
20201102230;3,56308969207099e+02
20201102231;1,52043292861173e+02
20201102232;1,16327572442384e+02
20201102233;3,42790305775932e+01
20201102234;7,75829081769175e+00
20201102235;5,75039031629374e+00
20201102236;1,67921914262412e+02
20201102237;1,65480227191041e+02
20201102238;4,11450208865409e+01
20201102239;2,25528664123390e+02
20201102240;4,64597016980671e+01
20201102241;1,47936032680502e+02
20201102242;4,06745770439965e+02
20201102243;3,36039578888242e+02
20201102244;4,11132411163885e+02
20201102245;9,85595436417683e+01
20201102301;7,13577765653699e+00
20201102302;9,48518041017912e+00
